,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
0, Aphelios,65,156,99,3.3,37.0,28.0,57.0,5.3,35:05:00,9.9,543.0,1.1,99.10313901345292
1, Sett,82,138,99,3.8,40.0,42.0,49.0,2.3,33:42:00,6.9,342.0,0.5,98.65470852017937
2, Ornn,94,98,86,5,54.0,40.0,57.0,3.7,33:27:00,7.4,323.0,-5.5,86.09865470852019
3, LeBlanc,36,125,72,6,21.0,15.0,58.0,4.6,32:51:00,8.3,543.0,7.4,72.19730941704036
4, Zoe,67,91,71,4.8,35.0,32.0,52.0,5.4,33:46:00,8.3,540.0,4.6,70.85201793721974
5, Jarvan IV,98,57,70,5.5,49.0,49.0,50.0,3.7,32:09:00,5.0,167.0,-4.0,69.50672645739911
6, Senna,42,96,62,4.2,26.0,16.0,62.0,5.5,33:40:00,2.6,402.0,-4.5,61.88340807174888
7, Miss Fortune,114,12,57,6.9,53.0,61.0,46.0,4.3,33:59:00,10.5,527.0,0.8,56.502242152466366
8, Kalista,59,65,56,4.4,34.0,25.0,58.0,5.2,33:17:00,10.1,431.0,8.8,55.60538116591929
9, Olaf,54,67,54,4.6,30.0,24.0,56.0,4.0,33:43:00,5.7,288.0,7.8,54.26008968609865
10, Azir,64,56,54,5.6,36.0,28.0,56.0,4.2,32:46:00,9.5,508.0,6.8,53.81165919282511
11, Varus,49,71,54,4.4,28.0,21.0,57.0,4.2,33:03:00,9.6,580.0,9.3,53.81165919282511
12, Nautilus,77,40,52,8.2,34.0,43.0,44.0,2.1,32:57:00,1.9,143.0,0.5,52.46636771300448
13, Elise,38,74,50,4.1,19.0,19.0,50.0,3.0,34:13:00,5.2,279.0,-2.4,50.224215246636774
14, Aatrox,75,33,48,7.8,35.0,40.0,47.0,2.3,32:42:00,8.1,361.0,2.5,48.4304932735426
15, Trundle,59,42,45,5,36.0,23.0,61.0,4.6,33:42:00,4.9,154.0,-2.4,45.2914798206278
16, Rumble,55,43,44,6.5,26.0,29.0,47.0,3.7,32:55:00,7.0,442.0,-4.3,43.946188340807176
17, Taric,64,32,43,6.5,33.0,31.0,52.0,3.6,32:29:00,1.1,76.0,2.5,43.04932735426009
18, Yuumi,36,60,43,4.6,14.0,22.0,39.0,5.2,33:50:00,0.5,291.0,-8.6,43.04932735426009
19, Akali,26,59,38,4.2,15.0,11.0,58.0,3.3,34:03:00,8.4,387.0,4.7,38.11659192825112
20, Lucian,26,53,35,5,9.0,17.0,35.0,2.6,34:52:00,9.4,470.0,10.4,35.42600896860987
21, Renekton,21,55,34,7.1,9.0,12.0,43.0,3.0,37:05:00,8.3,318.0,9.1,34.08071748878923
22, Lee Sin,48,25,33,6.1,13.0,35.0,27.0,2.4,33:59:00,5.4,190.0,-4.1,32.73542600896861
23, RekSai,37,34,32,5.2,21.0,16.0,57.0,2.8,33:34:00,5.5,235.0,6.1,31.838565022421523
24, Ezreal,54,16,31,6.9,25.0,29.0,46.0,3.5,32:57:00,9.9,600.0,-2.8,31.390134529147986
25, Syndra,34,35,31,6.6,14.0,20.0,41.0,3.3,35:06:00,8.7,451.0,8.5,30.94170403587444
26, Tahm Kench,42,24,30,8,24.0,18.0,57.0,3.8,32:56:00,3.2,120.0,-6.2,29.596412556053814
