,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
0, Aphelios,47,41,94,4.4,31.0,16.0,66.0,5.2,34:21:00,9.3,534.0,2.1,93.61702127659575
1, Sett,34,48,87,4.3,24.0,10.0,71.0,3.4,32:16:00,7.2,390.0,3.3,87.2340425531915
2, Aatrox,52,23,80,6.3,22.0,30.0,42.0,2.5,34:10:00,8.1,368.0,7.3,79.7872340425532
3, Syndra,30,43,78,5.2,22.0,8.0,73.0,5.2,35:06:00,8.8,519.0,7.2,77.6595744680851
4, Senna,25,48,78,3.5,10.0,15.0,40.0,6.2,34:58:00,7.2,459.0,-0.1,77.6595744680851
5, Ornn,27,46,78,3.7,16.0,11.0,59.0,4.3,36:44:00,6.6,342.0,-5.5,77.6595744680851
6, Tahm Kench,42,28,74,4.3,18.0,24.0,43.0,2.9,34:46:00,1.1,110.0,0.5,74.46808510638297
7, LeBlanc,14,56,74,7.9,4.0,10.0,29.0,2.5,35:53:00,7.8,428.0,-5.2,74.46808510638297
8, Rumble,14,50,68,3.8,8.0,6.0,57.0,4.4,36:14:00,7.0,589.0,-2.2,68.08510638297872
9, Gragas,29,27,60,8.1,19.0,10.0,66.0,4.2,32:06:00,5.1,328.0,1.7,59.57446808510638
10, Lee Sin,41,15,60,6.9,22.0,19.0,54.0,3.1,34:25:00,4.9,190.0,-2.9,59.57446808510638
11, Zoe,33,21,57,8.3,17.0,16.0,52.0,4.2,34:07:00,7.8,549.0,-2.2,57.446808510638306
12, Jarvan IV,28,26,57,7.6,13.0,15.0,46.0,2.7,33:53:00,4.8,166.0,2.5,57.446808510638306
13, Xayah,22,28,53,3.5,15.0,7.0,68.0,7.2,34:25:00,9.8,448.0,-1.2,53.191489361702125
14, Nautilus,38,9,50,5.3,22.0,16.0,58.0,2.2,34:05:00,1.3,133.0,-0.2,50.0
15, Elise,14,30,47,5.4,5.0,9.0,36.0,2.1,37:44:00,4.9,272.0,-2.5,46.808510638297875
16, Miss Fortune,34,7,44,7,14.0,20.0,41.0,4.1,33:26:00,9.6,433.0,-1.1,43.61702127659575
17, Sejuani,22,16,40,8.6,9.0,13.0,41.0,3.1,32:37:00,4.9,184.0,-2.6,40.42553191489361
18, Olaf,7,27,36,7,3.0,4.0,43.0,2.3,37:37:00,5.7,281.0,18.6,36.17021276595745
19, Lucian,6,28,36,3.7,3.0,3.0,50.0,3.6,33:25:00,9.2,400.0,15.8,36.17021276595745
20, Braum,25,8,35,7.6,12.0,13.0,48.0,3.9,36:25:00,1.0,130.0,2.0,35.1063829787234
21, Yuumi,7,25,34,3.5,2.0,5.0,29.0,3.6,32:44:00,0.1,266.0,-19.9,34.04255319148936
22, Pantheon,13,19,34,5.8,7.0,6.0,54.0,2.9,35:37:00,5.2,276.0,-11.2,34.04255319148936
23, Orianna,21,11,34,9.1,11.0,10.0,52.0,5,37:06:00,8.9,507.0,6.5,34.04255319148936
24, Varus,22,10,34,5.6,8.0,14.0,36.0,3.8,33:35:00,9.7,496.0,7.9,34.04255319148936
25, Thresh,22,9,33,8.4,10.0,12.0,45.0,2.8,33:53:00,1.0,89.0,0.0,32.97872340425532
26, Akali,1,30,33,2.4,0.0,1.0,0.0,-,26:57:00,6.9,242.0,-29.0,32.97872340425532
27, Qiyana,7,24,33,5.7,6.0,1.0,86.0,3.4,31:17:00,7.0,404.0,-15.9,32.97872340425532
28, Gangplank,15,14,31,4.9,6.0,9.0,40.0,3.2,35:31:00,8.8,543.0,-7.1,30.851063829787233
29, RekSai,17,11,30,7.5,7.0,10.0,41.0,2.4,34:01:00,5.2,215.0,1.6,29.78723404255319
30, Rakan,23,5,30,6.2,15.0,8.0,65.0,6.7,33:51:00,1.3,125.0,2.4,29.78723404255319
31, Renekton,13,12,27,7.3,5.0,8.0,38.0,1.7,34:41:00,8.0,350.0,3.9,26.595744680851062
32, Soraka,3,21,26,3.7,2.0,1.0,67.0,6,32:26:00,5.6,327.0,-10.0,25.53191489361702
33, Trundle,14,8,23,6.1,8.0,6.0,57.0,3.1,35:57:00,4.6,174.0,1.1,23.404255319148938
34, Mordekaiser,12,10,23,5.6,5.0,7.0,42.0,1.4,35:05:00,7.5,362.0,-12.6,23.404255319148938
35, Kalista,5,14,20,3.2,3.0,2.0,60.0,3.4,31:54:00,9.8,435.0,22.6,20.212765957446805
36, Cassiopeia,10,8,19,8.6,5.0,5.0,50.0,3.8,34:15:00,8.6,365.0,-6.4,19.148936170212767
37, Ezreal,15,2,18,5,5.0,10.0,33.0,4.4,37:48:00,9.2,574.0,-8.6,18.085106382978726
38, Viktor,12,4,17,8.3,6.0,6.0,50.0,6.4,36:51:00,9.3,635.0,0.9,17.02127659574468
39, Irelia,4,12,17,4.1,3.0,1.0,75.0,2.8,33:25:00,8.7,394.0,-9.0,17.02127659574468
40, Leona,13,2,16,9.5,5.0,8.0,38.0,2.1,34:32:00,1.1,97.0,-2.1,15.957446808510639
41, Camille,7,5,13,8.8,3.0,4.0,43.0,2.1,34:17:00,8.5,383.0,-7.9,12.76595744680851
42, Azir,8,4,13,8.3,1.0,7.0,13.0,1.4,32:25:00,9.2,376.0,5.0,12.76595744680851
43, Riven,1,10,12,3.6,1.0,0.0,100.0,-,38:32:00,9.3,511.0,21.0,11.702127659574469
44, Corki,4,4,9,9,1.0,3.0,25.0,3,31:11:00,9.5,606.0,-3.5,8.51063829787234
45, Ryze,6,2,9,7,2.0,4.0,33.0,2.9,33:57:00,10.4,460.0,5.8,8.51063829787234
46, Yasuo,4,3,7,8.7,2.0,2.0,50.0,1.8,29:29:00,8.0,339.0,5.5,7.446808510638298
47, Taliyah,3,4,7,9.3,2.0,1.0,67.0,7,36:10:00,7.9,523.0,-12.7,7.446808510638298
48, Taric,4,3,7,5.7,2.0,2.0,50.0,5,32:32:00,1.2,75.0,4.8,7.446808510638298
49, Ekko,3,3,6,8.3,1.0,2.0,33.0,4.5,30:33:00,9.4,472.0,0.7,6.382978723404255
50, Zilean,2,4,6,8,1.0,1.0,50.0,9.5,33:05:00,8.4,453.0,5.5,6.382978723404255
51, Ashe,6,0,6,-,2.0,4.0,33.0,3.7,39:10:00,9.8,564.0,-7.5,6.382978723404255
52, Kennen,4,1,5,9,1.0,3.0,25.0,1.4,32:24:00,8.3,424.0,5.0,5.319148936170213
53, Blitzcrank,2,3,5,4,1.0,1.0,50.0,3.7,36:55:00,0.9,105.0,0.5,5.319148936170213
54, Kayle,3,2,5,6.5,0.0,3.0,0.0,1.3,32:29:00,9.0,440.0,11.7,5.319148936170213
55, Vladimir,2,3,5,7.3,2.0,0.0,100.0,14,26:14:00,8.9,425.0,15.0,5.319148936170213
56, Diana,4,1,5,9,1.0,3.0,25.0,1,35:59:00,8.0,210.0,-14.0,5.319148936170213
57, Fiora,3,1,4,8,2.0,1.0,67.0,1.8,33:05:00,8.4,359.0,-14.3,4.25531914893617
58, Sylas,2,2,4,9,1.0,1.0,50.0,1.8,27:17:00,6.5,454.0,-10.5,4.25531914893617
59, Kaisa,4,0,4,-,2.0,2.0,50.0,4.3,28:21:00,9.3,424.0,-8.2,4.25531914893617
60, Karthus,1,2,3,5.5,0.0,1.0,0.0,0.5,32:04:00,6.8,345.0,45.0,3.1914893617021276
61, Morgana,2,1,3,9,1.0,1.0,50.0,-,29:14:00,4.1,246.0,-1.5,3.1914893617021276
62, Shen,3,0,3,-,1.0,2.0,33.0,1.6,29:29:00,3.0,180.0,-4.3,3.1914893617021276
63, Ahri,2,1,3,8,0.0,2.0,0.0,2.3,32:56:00,7.6,556.0,11.0,3.1914893617021276
64, Zac,3,0,3,-,0.0,3.0,0.0,0.6,32:18:00,5.8,278.0,-27.0,3.1914893617021276
65, Janna,1,1,2,3,1.0,0.0,100.0,11,50:51:00,3.4,250.0,-58.0,2.127659574468085
66, Ziggs,2,0,2,-,1.0,1.0,50.0,5,30:57:00,4.4,469.0,-16.5,2.127659574468085
67, Jayce,2,0,2,-,1.0,1.0,50.0,6,31:44:00,8.7,825.0,12.5,2.127659574468085
68, Karma,1,1,2,10,0.0,1.0,0.0,0.2,29:48:00,6.6,258.0,-29.0,2.127659574468085
69, Alistar,2,0,2,-,1.0,1.0,50.0,3.2,30:03:00,1.1,127.0,-1.0,2.127659574468085
70, Kindred,1,1,2,9,0.0,1.0,0.0,1.3,38:40:00,5.3,284.0,12.0,2.127659574468085
71, Malzahar,2,0,2,-,2.0,0.0,100.0,19,29:46:00,9.6,401.0,-10.0,2.127659574468085
72, Quinn,1,0,1,-,1.0,0.0,100.0,4.7,30:55:00,8.5,771.0,22.0,1.0638297872340425
73, Bard,1,0,1,-,1.0,0.0,100.0,15,34:31:00,1.3,258.0,0.0,1.0638297872340425
74, Anivia,1,0,1,-,0.0,1.0,0.0,0.5,31:01:00,8.9,123.0,-7.0,1.0638297872340425
75, Pyke,1,0,1,-,1.0,0.0,100.0,6.5,29:51:00,1.7,215.0,0.0,1.0638297872340425
76, Veigar,1,0,1,-,1.0,0.0,100.0,-,24:34:00,8.3,446.0,-12.0,1.0638297872340425
77, Sivir,0,1,1,9,,,,,0:00,,,,1.0638297872340425
78, Maokai,1,0,1,-,0.0,1.0,0.0,0.3,30:05:00,7.6,271.0,-23.0,1.0638297872340425
79, Chogath,1,0,1,-,1.0,0.0,100.0,3.3,36:04:00,6.1,464.0,41.0,1.0638297872340425
80, VelKoz,1,0,1,-,0.0,1.0,0.0,1.5,33:34:00,8.1,333.0,-3.0,1.0638297872340425
81, Tristana,1,0,1,-,1.0,0.0,100.0,-,32:20:00,10.6,457.0,-2.0,1.0638297872340425
82, Lissandra,0,1,1,7,,,,,0:00,,,,1.0638297872340425
83, Jinx,1,0,1,-,0.0,1.0,0.0,0,31:01:00,10.5,239.0,-4.0,1.0638297872340425
84, Sona,1,0,1,-,0.0,1.0,0.0,13,39:09:00,7.0,450.0,-29.0,1.0638297872340425
