,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
0, Aphelios,46,40,96,3.9,23.0,23.0,50.0,3.5,33:58:00,9.8,492.0,3.7,95.55555555555556
1, Gragas,43,33,84,3.6,25.0,18.0,58.0,4.1,34:59:00,4.9,294.0,-2.2,84.44444444444444
2, Syndra,10,61,79,4.4,7.0,3.0,70.0,3.9,34:26:00,9.1,529.0,8.8,78.88888888888889
3, Ornn,28,42,78,4.2,12.0,16.0,43.0,2.9,33:20:00,6.8,309.0,-9.7,77.77777777777779
4, Sett,38,27,72,4.3,18.0,20.0,47.0,2.5,33:37:00,7.1,357.0,3.7,72.22222222222221
5, Senna,22,42,71,3.9,14.0,8.0,64.0,7.1,32:59:00,6.6,458.0,-7.4,71.11111111111111
6, LeBlanc,22,39,68,6.6,10.0,12.0,45.0,3.7,35:16:00,8.3,517.0,2.6,67.77777777777779
7, Pantheon,15,44,66,4.5,6.0,9.0,40.0,3.7,29:57:00,6.4,344.0,-5.8,65.55555555555556
8, Rakan,28,31,66,4.6,14.0,14.0,50.0,3.8,33:15:00,1.1,133.0,-1.6,65.55555555555556
9, Gangplank,24,34,64,6.2,13.0,11.0,54.0,4.1,34:24:00,8.4,588.0,-5.2,64.44444444444444
10, Aatrox,33,25,64,7.4,19.0,14.0,58.0,4,34:56:00,7.9,382.0,5.6,64.44444444444444
11, Nautilus,40,17,63,6.4,18.0,22.0,45.0,1.9,35:12:00,1.1,143.0,-0.3,63.33333333333333
12, Braum,37,13,56,8.1,17.0,20.0,46.0,3.6,34:53:00,1.0,126.0,1.1,55.55555555555556
13, Miss Fortune,38,8,51,6.5,16.0,22.0,42.0,4,34:06:00,9.9,435.0,-1.2,51.11111111111111
14, Thresh,20,25,50,7.6,15.0,5.0,75.0,4.3,32:37:00,1.1,120.0,1.5,50.0
15, Lee Sin,36,9,50,7.1,18.0,18.0,50.0,3.8,33:10:00,4.9,225.0,2.0,50.0
16, Jarvan IV,16,22,42,5,3.0,13.0,19.0,1.5,35:26:00,4.2,126.0,-3.0,42.22222222222222
17, Akali,4,31,39,2.4,4.0,0.0,100.0,6.3,31:16:00,8.6,496.0,3.5,38.88888888888889
18, Karthus,10,24,38,3.7,7.0,3.0,70.0,6,34:50:00,6.8,518.0,17.4,37.77777777777778
19, Soraka,6,24,33,3.6,5.0,1.0,83.0,6,33:36:00,5.4,261.0,-7.2,33.33333333333333
20, Azir,19,10,32,7.2,9.0,10.0,47.0,2.8,34:05:00,9.6,533.0,7.3,32.22222222222222
21, Ezreal,20,8,31,5.8,10.0,10.0,50.0,5.4,34:38:00,9.9,645.0,3.6,31.11111111111111
22, Xayah,18,10,31,4.6,8.0,10.0,44.0,4,33:46:00,9.7,436.0,-6.1,31.11111111111111
23, Cassiopeia,11,16,30,7.7,5.0,6.0,45.0,2.6,34:33:00,9.1,513.0,7.3,30.0
24, Qiyana,8,19,30,6.2,6.0,2.0,75.0,3.6,36:16:00,7.6,447.0,-6.9,30.0
25, Olaf,8,18,29,6.3,5.0,3.0,63.0,2.3,32:46:00,5.8,321.0,7.1,28.888888888888886
26, Sejuani,19,7,29,6.1,10.0,9.0,53.0,3.5,34:37:00,4.8,197.0,-7.6,28.888888888888886
27, Tahm Kench,16,9,28,7.6,8.0,8.0,50.0,2.6,32:44:00,1.2,122.0,-2.4,27.77777777777778
28, Yuumi,6,18,27,4.8,4.0,2.0,67.0,6.9,35:29:00,0.3,254.0,-14.0,26.666666666666668
29, Renekton,13,10,26,7.8,7.0,6.0,54.0,1.9,32:36:00,8.3,293.0,10.9,25.555555555555554
30, Elise,13,8,23,6.5,5.0,8.0,38.0,2.5,33:18:00,4.8,266.0,-5.4,23.333333333333332
31, Rumble,5,16,23,5.6,1.0,4.0,20.0,1.4,35:52:00,7.2,518.0,1.2,23.333333333333332
32, Zoe,16,4,22,8.5,6.0,10.0,38.0,3.4,31:41:00,8.2,533.0,-1.2,22.22222222222222
33, Lucian,2,18,22,5.7,2.0,0.0,100.0,23,28:07:00,9.5,653.0,27.0,22.22222222222222
34, Kalista,5,14,21,3.2,4.0,1.0,80.0,6.6,31:04:00,9.9,488.0,13.2,21.11111111111111
