,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
0, Aphelios,106,219,98,3.6,60.0,46.0,57.0,4.5,32:22:00,9.4,562.0,0,98.48484848484848
1, Sett,90,175,80,3.9,44.0,46.0,49.0,2.3,32:35:00,5.7,338.0,0,80.3030303030303
2, Elise,67,171,72,4.3,32.0,35.0,48.0,3.4,32:47:00,5.1,305.0,-,72.12121212121212
3, Renekton,108,125,71,4.6,59.0,49.0,55.0,3.1,32:48:00,7.9,345.0,-,70.60606060606061
4, Jarvan IV,119,113,70,4.1,62.0,57.0,52.0,4.0,32:46:00,4.8,188.0,-,70.3030303030303
5, Varus,149,73,67,5.2,73.0,76.0,49.0,3.9,32:17:00,9.3,572.0,0,67.27272727272727
6, LeBlanc,66,151,66,5.8,31.0,35.0,47.0,5.1,32:53:00,7.7,527.0,0,65.75757575757576
7, Olaf,54,159,65,5.2,24.0,30.0,44.0,3.0,31:03:00,5.6,335.0,-,64.54545454545455
8, Senna,58,154,64,3.9,33.0,25.0,57.0,4.7,33:07:00,3.3,460.0,0,64.24242424242425
9, Zoe,69,143,64,5.2,27.0,42.0,39.0,5.0,32:23:00,7.8,613.0,0,64.24242424242425
10, Thresh,85,119,62,5.9,48.0,37.0,56.0,3.8,33:12:00,1.1,128.0,0,61.81818181818181
11, Nautilus,148,55,62,7.9,72.0,76.0,49.0,2.6,32:14:00,1.6,153.0,0,61.51515151515151
12, Ornn,113,86,60,5.8,56.0,57.0,50.0,3.1,33:02:00,6.8,381.0,-,60.303030303030305
13, Miss Fortune,178,21,60,6,87.0,91.0,49.0,4.5,32:50:00,9.7,534.0,0,60.303030303030305
14, Kalista,78,108,56,4.1,44.0,34.0,56.0,4.4,31:26:00,9.4,470.0,0,56.36363636363636
15, Rumble,68,105,52,5.8,33.0,35.0,49.0,3.6,32:58:00,7.0,532.0,-,52.42424242424243
16, Lee Sin,104,64,51,6.8,52.0,52.0,50.0,3.4,32:26:00,5.2,239.0,-,50.90909090909091
17, Mordekaiser,77,83,48,7.2,38.0,39.0,49.0,2.3,33:06:00,7.5,453.0,-,48.484848484848484
18, Aatrox,124,30,47,7.2,64.0,60.0,52.0,2.9,32:16:00,7.7,396.0,0,46.666666666666664
19, Azir,83,64,45,6.3,44.0,39.0,53.0,4.0,33:25:00,9.0,551.0,0,44.54545454545455
20, Braum,96,34,39,8,49.0,47.0,51.0,3.6,31:55:00,1.1,136.0,0,39.39393939393939
21, Leona,93,33,38,8.9,45.0,48.0,48.0,2.5,32:10:00,1.1,114.0,0,38.18181818181819
