Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Aphelios,65,156,99%,3.3,37,28,57%,5.3,35:05:00,9.9,543,1.1
 Sett,82,138,99%,3.8,40,42,49%,2.3,33:42:00,6.9,342,0.5
 Ornn,94,98,86%,5,54,40,57%,3.7,33:27:00,7.4,323,-5.5
 LeBlanc,36,125,72%,6,21,15,58%,4.6,32:51:00,8.3,543,7.4
 Zoe,67,91,71%,4.8,35,32,52%,5.4,33:46:00,8.3,540,4.6
 Jarvan IV,98,57,70%,5.5,49,49,50%,3.7,32:09:00,5,167,-4
 Senna,42,96,62%,4.2,26,16,62%,5.5,33:40:00,2.6,402,-4.5
 Miss Fortune,114,12,57%,6.9,53,61,46%,4.3,33:59:00,10.5,527,0.8
 Kalista,59,65,56%,4.4,34,25,58%,5.2,33:17:00,10.1,431,8.8
 Olaf,54,67,54%,4.6,30,24,56%,4,33:43:00,5.7,288,7.8
 Azir,64,56,54%,5.6,36,28,56%,4.2,32:46:00,9.5,508,6.8
 Varus,49,71,54%,4.4,28,21,57%,4.2,33:03:00,9.6,580,9.3
 Nautilus,77,40,52%,8.2,34,43,44%,2.1,32:57:00,1.9,143,0.5
 Elise,38,74,50%,4.1,19,19,50%,3,34:13:00,5.2,279,-2.4
 Aatrox,75,33,48%,7.8,35,40,47%,2.3,32:42:00,8.1,361,2.5
 Trundle,59,42,45%,5,36,23,61%,4.6,33:42:00,4.9,154,-2.4
 Rumble,55,43,44%,6.5,26,29,47%,3.7,32:55:00,7,442,-4.3
 Taric,64,32,43%,6.5,33,31,52%,3.6,32:29:00,1.1,76,2.5
 Yuumi,36,60,43%,4.6,14,22,39%,5.2,33:50:00,0.5,291,-8.6
 Akali,26,59,38%,4.2,15,11,58%,3.3,34:03:00,8.4,387,4.7
 Lucian,26,53,35%,5,9,17,35%,2.6,34:52:00,9.4,470,10.4
 Renekton,21,55,34%,7.1,9,12,43%,3,37:05:00,8.3,318,9.1
 Lee Sin,48,25,33%,6.1,13,35,27%,2.4,33:59:00,5.4,190,-4.1
 RekSai,37,34,32%,5.2,21,16,57%,2.8,33:34:00,5.5,235,6.1
 Ezreal,54,16,31%,6.9,25,29,46%,3.5,32:57:00,9.9,600,-2.8
 Syndra,34,35,31%,6.6,14,20,41%,3.3,35:06:00,8.7,451,8.5
 Tahm Kench,42,24,30%,8,24,18,57%,3.8,32:56:00,3.2,120,-6.2
 Pantheon,19,46,29%,4.5,11,8,58%,2.5,32:10:00,7.3,267,-23.3
 Braum,47,16,28%,8.5,25,22,53%,3.4,36:06:00,1,115,0.7
 Thresh,36,27,28%,8.3,17,19,47%,3.4,34:04:00,1,90,1.8
 Gragas,35,28,28%,5.5,18,17,51%,4.3,37:22:00,5.3,301,-1.1
 Sylas,31,29,27%,5.9,15,16,48%,3.1,33:12:00,7.1,395,-9.1
 Soraka,14,46,27%,3.6,7,7,50%,4.6,33:36:00,5.4,247,-24.1
 Sejuani,39,8,21%,8.6,21,18,54%,5.4,32:41:00,5.3,225,0.7
 Mordekaiser,24,21,20%,6.4,9,15,38%,1.6,33:41:00,7.6,417,-15.2
 Irelia,12,33,20%,6.4,5,7,42%,1.9,36:47:00,8.7,407,11.4
 Kennen,27,16,19%,8.3,15,12,56%,2.1,33:30:00,8,426,4.2
 Rakan,28,7,16%,8.3,13,15,46%,3.2,34:40:00,1.1,122,-0.4
 Jayce,21,14,16%,5.8,12,9,57%,3.4,31:32:00,8.8,633,10.2
 Kaisa,27,7,15%,8,11,16,41%,4.3,31:52:00,9.9,471,-2.5
 Xayah,20,12,14%,8.7,9,11,45%,3.1,34:20:00,10.3,484,-2.8
 Qiyana,10,20,13%,4.9,5,5,50%,3.1,36:53:00,7.7,324,-14.8
 Morgana,15,12,12%,8.5,10,5,67%,5.9,32:07:00,1.7,213,-5.9
 Galio,15,11,12%,8.4,8,7,53%,4.2,31:43:00,7.6,330,-13.6
 Leona,14,12,12%,8.3,5,9,36%,1.4,35:48:00,1.1,115,0.9
 Ekko,14,12,12%,8.8,7,7,50%,3.9,33:28:00,8.9,385,-2.4
 Zilean,9,12,9%,8.2,6,3,67%,12.3,34:14:00,7.4,381,-12.2
 Blitzcrank,10,11,9%,8.3,8,2,80%,2.9,37:14:00,0.9,126,0.8
 Gnar,15,5,9%,6.8,6,9,40%,1.6,34:24:00,8.2,440,-0.9
 Illaoi,5,15,9%,4.5,2,3,40%,1.5,40:56:00,7,679,-5.8
 Karma,13,6,9%,8,7,6,54%,7.5,32:06:00,2.7,251,-9.8
 Taliyah,6,12,8%,3.7,2,4,33%,2.3,33:35:00,7.6,352,-7.5
 Cassiopeia,14,4,8%,8.8,5,9,36%,2.2,31:41:00,8.7,371,-1.9
 Kassadin,6,12,8%,8.3,2,4,33%,4.3,32:03:00,9.4,422,-8.7
 Viktor,14,4,8%,9,5,9,36%,2.6,36:28:00,9.2,564,8.4
 Gangplank,10,7,8%,8.6,9,1,90%,5.1,35:18:00,8.3,651,-11
 Volibear,5,10,7%,7.7,3,2,60%,2.6,35:29:00,2.7,188,11.6
 Kindred,5,9,6%,8.8,2,3,40%,2.8,30:27:00,6.2,308,5.8
 Alistar,13,1,6%,10,8,5,62%,4.7,33:22:00,0.9,104,1.8
 Orianna,10,3,6%,9,3,7,30%,3.6,35:03:00,8.8,362,7.5
 Camille,8,5,6%,8.6,3,5,38%,2.3,32:36:00,8.6,388,-7.5
 Maokai,7,5,5%,8.4,2,5,29%,1.4,28:47:00,7.3,375,-8.4
 Yasuo,2,10,5%,8,1,1,50%,3.3,34:58:00,8.7,200,-7
 Karthus,6,6,5%,7.3,2,4,33%,1.9,33:04:00,7.1,490,11
 Quinn,3,8,5%,8.5,1,2,33%,1.7,33:34:00,9.5,470,20.3
 Diana,6,4,4%,4.5,3,3,50%,2.9,33:03:00,6.7,299,4.2
 Ryze,6,4,4%,9,3,3,50%,4.4,33:31:00,9.7,519,18.5
 Corki,5,4,4%,6.3,2,3,40%,3.1,32:04:00,10.1,571,7.4
 Ashe,5,3,4%,7.7,2,3,40%,2.3,34:36:00,9.4,553,0.8
 Pyke,6,2,4%,8,3,3,50%,3.2,33:16:00,1.6,140,2.2
 Bard,7,1,4%,10,4,3,57%,6.1,35:55:00,1,172,-5.1
 Nocturne,3,5,4%,8.8,3,0,100%,4.8,34:37:00,6.4,225,18
 Shen,4,3,3%,8.7,2,2,50%,3.3,33:07:00,3.1,128,2
 Caitlyn,6,1,3%,7,3,3,50%,3.7,37:08:00,10.2,600,9.7
 Ziggs,6,1,3%,6,1,5,17%,2,33:30:00,9.7,746,17.5
 Kayle,4,2,3%,7,3,1,75%,5.9,38:11:00,9.9,633,1.5
 Lissandra,3,2,2%,9.5,1,2,33%,2.3,34:18:00,7.9,447,-4.7
 VelKoz,3,2,2%,9.5,3,0,100%,11.3,34:22:00,7.8,554,5.3
 Nidalee,2,2,2%,9,1,1,50%,4,33:49:00,6.9,338,15.5
 Sivir,1,3,2%,8.3,0,1,0%,0.7,28:13:00,8.6,270,-33
 Lulu,4,0,2%,-,2,2,50%,7.8,35:31:00,0.9,83,-0.5
 Poppy,2,2,2%,8,0,2,0%,0.6,34:56:00,5.1,246,-17.5
 Sion,3,0,1%,-,2,1,67%,2.6,29:05:00,6.5,341,-26.3
 Kled,1,2,1%,9,0,1,0%,1,31:01:00,8.1,226,-30
 Neeko,3,0,1%,-,2,1,67%,6.3,27:45:00,9.5,380,6.3
 Vayne,3,0,1%,-,1,2,33%,5,32:26:00,8.6,367,-14.7
 Vladimir,2,0,1%,-,1,1,50%,1.3,34:29:00,9.1,450,-7
 KogMaw,1,1,1%,5,0,1,0%,2.2,54:36:00,10.1,1219,5
 Tristana,2,0,1%,-,2,0,100%,9,37:12:00,9.5,266,-4.5
 Brand,2,0,1%,-,0,2,0%,1.2,27:08:00,0.7,389,-4
 Tryndamere,1,1,1%,10,0,1,0%,0,24:17:00,10.5,141,8
 Zac,1,1,1%,7,0,1,0%,0.7,36:12:00,5.4,123,-8
 Graves,2,0,1%,-,1,1,50%,10,30:51:00,8.4,431,19
 Janna,1,1,1%,10,0,1,0%,2,28:01:00,0.6,160,-11
 Nami,2,0,1%,-,0,2,0%,0.6,30:49:00,0.8,102,-7.5
 Lux,1,0,0%,-,0,1,0%,0.3,30:55:00,0.9,111,-10
 Xin Zhao,1,0,0%,-,0,1,0%,0.8,34:01:00,4.5,278,-27
 Ivern,1,0,0%,-,0,1,0%,0,32:28:00,5.5,116,7
 Malphite,0,1,0%,10,,,,,0:00,,,
 Darius,1,0,0%,-,0,1,0%,1,24:47:00,7.1,239,3
 Anivia,1,0,0%,-,0,1,0%,0.3,26:09:00,9,241,-17
 Jax,1,0,0%,-,0,1,0%,0.8,40:07:00,8.6,385,-7
 Jinx,1,0,0%,-,0,1,0%,2.3,33:29:00,10.5,309,-15
 Fiora,0,1,0%,10,,,,,0:00,,,
 Twitch,1,0,0%,-,0,1,0%,0.5,25:12:00,6.7,330,-41
 Rammus,0,0,0%,-,,,,,0:00,,,
 Warwick,0,0,0%,-,,,,,0:00,,,
