Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Aphelios,46,40,96%,3.9,23,23,50%,3.5,33:58:00,9.8,492,3.7
 Gragas,43,33,84%,3.6,25,18,58%,4.1,34:59:00,4.9,294,-2.2
 Syndra,10,61,79%,4.4,7,3,70%,3.9,34:26:00,9.1,529,8.8
 Ornn,28,42,78%,4.2,12,16,43%,2.9,33:20:00,6.8,309,-9.7
 Sett,38,27,72%,4.3,18,20,47%,2.5,33:37:00,7.1,357,3.7
 Senna,22,42,71%,3.9,14,8,64%,7.1,32:59:00,6.6,458,-7.4
 LeBlanc,22,39,68%,6.6,10,12,45%,3.7,35:16:00,8.3,517,2.6
 Pantheon,15,44,66%,4.5,6,9,40%,3.7,29:57:00,6.4,344,-5.8
 Rakan,28,31,66%,4.6,14,14,50%,3.8,33:15:00,1.1,133,-1.6
 Gangplank,24,34,64%,6.2,13,11,54%,4.1,34:24:00,8.4,588,-5.2
 Aatrox,33,25,64%,7.4,19,14,58%,4,34:56:00,7.9,382,5.6
 Nautilus,40,17,63%,6.4,18,22,45%,1.9,35:12:00,1.1,143,-0.3
 Braum,37,13,56%,8.1,17,20,46%,3.6,34:53:00,1,126,1.1
 Miss Fortune,38,8,51%,6.5,16,22,42%,4,34:06:00,9.9,435,-1.2
 Thresh,20,25,50%,7.6,15,5,75%,4.3,32:37:00,1.1,120,1.5
 Lee Sin,36,9,50%,7.1,18,18,50%,3.8,33:10:00,4.9,225,2
 Jarvan IV,16,22,42%,5,3,13,19%,1.5,35:26:00,4.2,126,-3
 Akali,4,31,39%,2.4,4,0,100%,6.3,31:16:00,8.6,496,3.5
 Karthus,10,24,38%,3.7,7,3,70%,6,34:50:00,6.8,518,17.4
 Soraka,6,24,33%,3.6,5,1,83%,6,33:36:00,5.4,261,-7.2
 Azir,19,10,32%,7.2,9,10,47%,2.8,34:05:00,9.6,533,7.3
 Ezreal,20,8,31%,5.8,10,10,50%,5.4,34:38:00,9.9,645,3.6
 Xayah,18,10,31%,4.6,8,10,44%,4,33:46:00,9.7,436,-6.1
 Cassiopeia,11,16,30%,7.7,5,6,45%,2.6,34:33:00,9.1,513,7.3
 Qiyana,8,19,30%,6.2,6,2,75%,3.6,36:16:00,7.6,447,-6.9
 Olaf,8,18,29%,6.3,5,3,63%,2.3,32:46:00,5.8,321,7.1
 Sejuani,19,7,29%,6.1,10,9,53%,3.5,34:37:00,4.8,197,-7.6
 Tahm Kench,16,9,28%,7.6,8,8,50%,2.6,32:44:00,1.2,122,-2.4
 Yuumi,6,18,27%,4.8,4,2,67%,6.9,35:29:00,0.3,254,-14
 Renekton,13,10,26%,7.8,7,6,54%,1.9,32:36:00,8.3,293,10.9
