Champion,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y
 Aphelios,65,156,99,3.3,37.0,28.0,57.0,5.3,35:05:00,9.9,543.0,1.1,99.10313901345292,47,41,94,4.4,31.0,16.0,66.0,5.2,34:21:00,9.3,534.0,2.1,93.61702127659575,106,219,98,3.6,60.0,46.0,57.0,4.5,32:22:00,9.4,562.0,0,98.48484848484848,46,40,96,3.9,23.0,23.0,50.0,3.5,33:58:00,9.8,492.0,3.7,95.55555555555556
 Sett,82,138,99,3.8,40.0,42.0,49.0,2.3,33:42:00,6.9,342.0,0.5,98.65470852017937,34,48,87,4.3,24.0,10.0,71.0,3.4,32:16:00,7.2,390.0,3.3,87.2340425531915,90,175,80,3.9,44.0,46.0,49.0,2.3,32:35:00,5.7,338.0,0,80.3030303030303,38,27,72,4.3,18.0,20.0,47.0,2.5,33:37:00,7.1,357.0,3.7,72.22222222222221
 Ornn,94,98,86,5,54.0,40.0,57.0,3.7,33:27:00,7.4,323.0,-5.5,86.09865470852019,27,46,78,3.7,16.0,11.0,59.0,4.3,36:44:00,6.6,342.0,-5.5,77.6595744680851,113,86,60,5.8,56.0,57.0,50.0,3.1,33:02:00,6.8,381.0,-,60.303030303030305,28,42,78,4.2,12.0,16.0,43.0,2.9,33:20:00,6.8,309.0,-9.7,77.77777777777779
 LeBlanc,36,125,72,6,21.0,15.0,58.0,4.6,32:51:00,8.3,543.0,7.4,72.19730941704036,14,56,74,7.9,4.0,10.0,29.0,2.5,35:53:00,7.8,428.0,-5.2,74.46808510638297,66,151,66,5.8,31.0,35.0,47.0,5.1,32:53:00,7.7,527.0,0,65.75757575757576,22,39,68,6.6,10.0,12.0,45.0,3.7,35:16:00,8.3,517.0,2.6,67.77777777777779
 Zoe,67,91,71,4.8,35.0,32.0,52.0,5.4,33:46:00,8.3,540.0,4.6,70.85201793721974,33,21,57,8.3,17.0,16.0,52.0,4.2,34:07:00,7.8,549.0,-2.2,57.446808510638306,69,143,64,5.2,27.0,42.0,39.0,5.0,32:23:00,7.8,613.0,0,64.24242424242425,16,4,22,8.5,6.0,10.0,38.0,3.4,31:41:00,8.2,533.0,-1.2,22.22222222222222
 Jarvan IV,98,57,70,5.5,49.0,49.0,50.0,3.7,32:09:00,5.0,167.0,-4.0,69.50672645739911,28,26,57,7.6,13.0,15.0,46.0,2.7,33:53:00,4.8,166.0,2.5,57.446808510638306,119,113,70,4.1,62.0,57.0,52.0,4.0,32:46:00,4.8,188.0,-,70.3030303030303,16,22,42,5,3.0,13.0,19.0,1.5,35:26:00,4.2,126.0,-3.0,42.22222222222222
 Senna,42,96,62,4.2,26.0,16.0,62.0,5.5,33:40:00,2.6,402.0,-4.5,61.88340807174888,25,48,78,3.5,10.0,15.0,40.0,6.2,34:58:00,7.2,459.0,-0.1,77.6595744680851,58,154,64,3.9,33.0,25.0,57.0,4.7,33:07:00,3.3,460.0,0,64.24242424242425,22,42,71,3.9,14.0,8.0,64.0,7.1,32:59:00,6.6,458.0,-7.4,71.11111111111111
 Miss Fortune,114,12,57,6.9,53.0,61.0,46.0,4.3,33:59:00,10.5,527.0,0.8,56.502242152466366,34,7,44,7,14.0,20.0,41.0,4.1,33:26:00,9.6,433.0,-1.1,43.61702127659575,178,21,60,6,87.0,91.0,49.0,4.5,32:50:00,9.7,534.0,0,60.303030303030305,38,8,51,6.5,16.0,22.0,42.0,4,34:06:00,9.9,435.0,-1.2,51.11111111111111
 Kalista,59,65,56,4.4,34.0,25.0,58.0,5.2,33:17:00,10.1,431.0,8.8,55.60538116591929,5,14,20,3.2,3.0,2.0,60.0,3.4,31:54:00,9.8,435.0,22.6,20.212765957446805,78,108,56,4.1,44.0,34.0,56.0,4.4,31:26:00,9.4,470.0,0,56.36363636363636,5,14,21,3.2,4.0,1.0,80.0,6.6,31:04:00,9.9,488.0,13.2,21.11111111111111
 Olaf,54,67,54,4.6,30.0,24.0,56.0,4.0,33:43:00,5.7,288.0,7.8,54.26008968609865,7,27,36,7,3.0,4.0,43.0,2.3,37:37:00,5.7,281.0,18.6,36.17021276595745,54,159,65,5.2,24.0,30.0,44.0,3.0,31:03:00,5.6,335.0,-,64.54545454545455,8,18,29,6.3,5.0,3.0,63.0,2.3,32:46:00,5.8,321.0,7.1,28.888888888888886
