,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
0, Gnar,81,112,90,36.0,45.0,44.0,2.3,5.8,33:28:00,8.1,459.0,384.0,4.6,236.0,139.0,89.76744186046511
1, Kaisa,153,35,87,71.0,82.0,46.0,3.7,5.3,33:13:00,9.7,427.0,438.0,-0.9,-174.0,-76.0,87.44186046511628
2, Renekton,56,121,82,32.0,24.0,57.0,3.3,4.3,32:24:00,8.5,392.0,397.0,10.9,360.0,215.0,82.32558139534883
3, Rell,82,90,80,38.0,44.0,46.0,2.4,5,32:23:00,1.2,133.0,224.0,0.3,-60.0,-49.0,80.0
4, Udyr,66,84,70,35.0,31.0,53.0,4.7,4,33:30:00,6.3,222.0,341.0,3.2,-5.0,69.0,69.76744186046511
5, Alistar,89,58,68,43.0,46.0,48.0,2.8,7,32:50:00,1.1,116.0,223.0,1.9,-122.0,-94.0,68.37209302325581
6, Gragas,78,62,65,41.0,37.0,53.0,3.1,5.9,32:47:00,5.1,389.0,312.0,-5.2,-183.0,35.0,65.11627906976744
7, Seraphine,29,107,63,16.0,13.0,55.0,5.2,3.3,32:57:00,5.3,307.0,322.0,-13.9,-256.0,-304.0,63.25581395348837
8, Azir,62,72,62,31.0,31.0,50.0,3.5,6.6,32:22:00,9.2,518.0,401.0,-0.4,-180.0,92.0,62.32558139534884
9, Syndra,83,49,61,43.0,40.0,52.0,3.2,6.6,33:20:00,8.8,471.0,383.0,0.3,-112.0,-168.0,61.395348837209305
10, Thresh,44,86,60,25.0,19.0,57.0,3.3,3.6,33:41:00,1.1,93.0,228.0,3.3,78.0,61.0,60.46511627906976
11, Olaf,67,62,60,30.0,37.0,45.0,3.1,4.6,32:19:00,5.9,320.0,341.0,-6.2,-136.0,-269.0,60.0
12, Orianna,78,51,60,39.0,39.0,50.0,4.2,7.9,33:55:00,9.2,435.0,398.0,3.3,109.0,55.0,60.0
13, Lillia,65,59,58,29.0,36.0,45.0,3.7,5.1,33:31:00,6.7,365.0,347.0,1.9,19.0,47.0,57.674418604651166
14, Nidalee,69,41,51,34.0,35.0,49.0,4.1,4,32:55:00,6.7,385.0,361.0,3.5,104.0,218.0,51.162790697674424
15, Samira,61,45,49,26.0,35.0,43.0,3.4,4.3,32:31:00,9.0,356.0,416.0,-1.2,-77.0,-48.0,49.30232558139535
16, Taliyah,19,85,48,17.0,2.0,89.0,4.4,3.8,33:13:00,6.8,364.0,377.0,5.7,587.0,468.0,48.372093023255815
17, Aphelios,43,54,45,22.0,21.0,51.0,3.2,4.3,33:05:00,9.9,466.0,442.0,5.3,380.0,39.0,45.11627906976744
