,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
0, Udyr,18,70,98,9.0,9.0,50.0,5.1,2.7,33:41:00,6.8,187.0,358.0,10.9,367.0,344.0,97.77777777777777
1, Rell,43,41,93,24.0,19.0,56.0,3.3,5.1,34:51:00,1.1,129.0,226.0,2.5,22.0,-123.0,93.33333333333333
2, Olaf,22,61,92,16.0,6.0,73.0,3.9,4,36:23:00,6.2,341.0,351.0,-2.0,-105.0,-86.0,92.22222222222223
3, Renekton,28,49,86,19.0,9.0,68.0,3.2,3.8,33:32:00,8.3,371.0,398.0,14.6,690.0,155.0,85.55555555555556
4, Kaisa,56,21,86,30.0,26.0,54.0,4.5,4.8,33:37:00,9.4,446.0,445.0,-1.2,-71.0,-7.0,85.55555555555556
5, Seraphine,12,58,78,6.0,6.0,50.0,6.9,3.4,33:50:00,6.1,294.0,336.0,-8.1,-65.0,1.0,77.77777777777779
6, Azir,38,29,74,21.0,17.0,55.0,3.4,5.2,32:01:00,9.2,511.0,415.0,3.0,260.0,218.0,74.44444444444444
7, Hecarim,36,28,71,19.0,17.0,53.0,4.4,5.4,34:21:00,6.2,267.0,346.0,-1.6,138.0,14.0,71.11111111111111
8, Gnar,31,31,69,16.0,15.0,52.0,3.2,6.6,34:15:00,7.6,464.0,379.0,-3.1,-126.0,-18.0,68.88888888888889
9, Alistar,39,21,67,18.0,21.0,46.0,3.3,7.6,34:05:00,1.1,124.0,226.0,-0.8,-145.0,16.0,66.66666666666666
10, Senna,16,41,63,6.0,10.0,38.0,3.7,5,32:26:00,3.0,519.0,326.0,-0.8,671.0,406.0,63.33333333333333
11, Lillia,32,24,62,16.0,16.0,50.0,3.8,5.1,33:23:00,6.7,337.0,342.0,4.4,148.0,305.0,62.22222222222222
12, Orianna,33,22,61,16.0,17.0,48.0,4.4,8,35:29:00,9.2,458.0,396.0,5.9,-55.0,129.0,61.111111111111114
13, Tristana,29,21,56,18.0,11.0,62.0,3.9,5.1,34:16:00,9.5,478.0,442.0,4.9,564.0,352.0,55.55555555555556
14, Thresh,16,33,54,7.0,9.0,44.0,2.6,5.4,34:20:00,1.1,88.0,223.0,1.6,69.0,-113.0,54.44444444444444
15, Gragas,29,19,53,13.0,16.0,45.0,2.7,7.4,33:40:00,6.3,316.0,322.0,-10.9,-408.0,-112.0,53.333333333333336
16, Syndra,26,22,53,9.0,17.0,35.0,2.6,7.5,34:58:00,9.0,433.0,377.0,2.0,-231.0,-257.0,53.333333333333336
17, Camille,19,27,51,8.0,11.0,42.0,2,5.4,31:53:00,7.5,374.0,376.0,-10.7,-336.0,-310.0,51.11111111111111
18, Gangplank,18,26,49,6.0,12.0,33.0,2,7.3,35:03:00,8.1,580.0,403.0,8.7,319.0,-89.0,48.888888888888886
