,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
0, Twisted Fate,18,69,97,14.0,4.0,78.0,7.3,3.3,32:24:00,8.3,475.0,430.0,-12.7,130.0,-144.0,96.66666666666667
1, Thresh,17,63,89,7.0,10.0,41.0,2.2,4.2,33:23:00,1.1,99.0,225.0,3.4,-187.0,-74.0,88.88888888888889
2, Kaisa,52,23,83,24.0,28.0,46.0,3.9,4.6,32:39:00,9.4,472.0,443.0,2.8,-118.0,160.0,83.33333333333334
3, Rell,39,30,77,25.0,14.0,64.0,2.7,5.5,32:16:00,1.1,145.0,236.0,1.3,-49.0,-94.0,76.66666666666667
4, Udyr,20,47,74,8.0,12.0,40.0,2.9,3.8,33:05:00,6.1,188.0,329.0,2.6,-53.0,16.0,74.44444444444444
5, Lillia,37,30,74,18.0,19.0,49.0,3,4.5,34:10:00,6.2,351.0,335.0,1.2,96.0,-33.0,74.44444444444444
6, Alistar,40,23,70,18.0,22.0,45.0,2.6,7.6,32:30:00,1.0,155.0,226.0,-0.5,-42.0,46.0,70.0
7, Renekton,29,34,70,13.0,16.0,45.0,2.7,5.7,34:00:00,8.1,362.0,376.0,7.8,260.0,91.0,70.0
8, Gragas,31,20,57,14.0,17.0,45.0,3,7.4,33:08:00,6.2,364.0,329.0,-10.8,-345.0,-224.0,56.666666666666664
9, Olaf,17,34,57,10.0,7.0,59.0,3.7,4.1,33:18:00,6.0,421.0,360.0,1.1,-214.0,-103.0,56.666666666666664
10, Orianna,31,16,52,17.0,14.0,55.0,5,7.5,33:09:00,9.0,494.0,406.0,4.6,135.0,201.0,52.22222222222223
11, Gnar,25,20,50,9.0,16.0,36.0,3.4,8.5,32:22:00,8.0,515.0,381.0,7.8,168.0,114.0,50.0
12, Azir,25,18,48,14.0,11.0,56.0,3.2,4.1,33:02:00,9.3,488.0,407.0,3.3,-48.0,192.0,47.77777777777778
13, Graves,23,17,44,12.0,11.0,52.0,4.1,4.9,32:52:00,7.3,413.0,389.0,8.4,186.0,490.0,44.44444444444444
14, Syndra,22,18,44,5.0,17.0,23.0,2.1,8.2,33:52:00,8.7,479.0,384.0,5.3,33.0,116.0,44.44444444444444
15, Senna,12,28,44,7.0,5.0,58.0,5.6,4,33:44:00,3.2,622.0,359.0,-2.4,702.0,583.0,44.44444444444444
16, Xayah,27,12,43,17.0,10.0,63.0,4.6,7.6,33:32:00,9.8,555.0,456.0,-1.7,243.0,-55.0,43.333333333333336
17, Taliyah,8,30,42,7.0,1.0,88.0,5.7,4,30:24:00,7.0,446.0,396.0,11.2,398.0,533.0,42.22222222222222
18, Hecarim,24,13,41,10.0,14.0,42.0,3.3,6.2,32:36:00,5.8,274.0,324.0,-7.3,-343.0,-336.0,41.11111111111111
19, Camille,9,28,41,3.0,6.0,33.0,1.7,5,32:13:00,7.7,402.0,368.0,-5.2,-224.0,-255.0,41.11111111111111
20, Seraphine,12,24,40,7.0,5.0,58.0,4.7,5,31:53:00,4.7,277.0,304.0,-14.0,-454.0,-220.0,40.0
21, Pantheon,10,25,39,5.0,5.0,50.0,3.7,3.7,31:35:00,6.2,409.0,362.0,-6.8,45.0,-180.0,38.88888888888889
22, Kalista,10,25,39,5.0,5.0,50.0,3,3.9,32:14:00,9.0,342.0,419.0,3.9,313.0,-119.0,38.88888888888889
23, Aatrox,13,18,34,10.0,3.0,77.0,6.6,8.3,34:29:00,8.2,494.0,415.0,13.1,360.0,509.0,34.44444444444444
24, Lucian,14,17,34,8.0,6.0,57.0,3.7,4.6,33:45:00,9.5,495.0,439.0,4.0,428.0,-241.0,34.44444444444444
25, Leona,20,7,30,8.0,12.0,40.0,2.2,8.9,32:23:00,1.2,132.0,228.0,4.0,-31.0,-21.0,30.0
26, Sion,20,7,30,8.0,12.0,40.0,2.4,8.1,32:48:00,7.1,329.0,338.0,-9.2,-294.0,17.0,30.0
27, Tristana,11,15,29,4.0,7.0,36.0,2.7,7.2,30:32:00,8.5,466.0,428.0,-6.7,-148.0,-332.0,28.888888888888886
28, Zoe,9,17,29,3.0,6.0,33.0,3,4.8,31:00:00,8.2,505.0,378.0,-8.1,-91.0,-396.0,28.888888888888886
29, Caitlyn,5,17,24,1.0,4.0,20.0,3.7,4.3,32:57:00,9.5,561.0,424.0,5.8,334.0,-330.0,24.444444444444443
30, Skarner,8,14,24,5.0,3.0,63.0,4.7,3.8,32:40:00,4.9,159.0,319.0,-10.9,-238.0,-443.0,24.444444444444443
31, Nidalee,15,6,23,9.0,6.0,60.0,4.5,8.2,34:49:00,6.5,369.0,357.0,2.2,489.0,367.0,23.333333333333332
32, Jhin,20,1,23,13.0,7.0,65.0,7.6,6,35:13:00,9.6,488.0,431.0,1.1,-140.0,238.0,23.333333333333332
33, Gangplank,7,13,22,5.0,2.0,71.0,3.5,7.6,35:32:00,8.4,653.0,428.0,-0.6,377.0,28.0,22.22222222222222
34, Ryze,12,8,22,9.0,3.0,75.0,3.6,5.4,31:56:00,9.9,534.0,453.0,19.7,697.0,446.0,22.22222222222222
35, Rakan,12,7,21,7.0,5.0,58.0,3.8,8,34:23:00,1.2,161.0,240.0,3.4,51.0,-35.0,21.11111111111111
36, Samira,10,7,19,4.0,6.0,40.0,3.4,7.9,30:08:00,8.1,444.0,419.0,1.2,450.0,-29.0,18.88888888888889
37, Jayce,6,10,18,3.0,3.0,50.0,4.1,8,35:52:00,9.1,620.0,420.0,12.7,558.0,-15.0,17.77777777777778
38, Aphelios,13,3,18,4.0,9.0,31.0,2.8,4.3,33:41:00,9.4,454.0,411.0,6.5,-59.0,86.0,17.77777777777778
39, Nautilus,9,5,16,5.0,4.0,56.0,2.1,8.8,34:45:00,1.1,160.0,234.0,-1.4,-71.0,78.0,15.555555555555555
40, Viktor,10,4,16,3.0,7.0,30.0,2,9.5,32:49:00,9.0,561.0,380.0,-3.2,-356.0,-256.0,15.555555555555555
41, Jarvan IV,10,1,12,6.0,4.0,60.0,2.8,10,33:00:00,3.7,201.0,293.0,-13.7,-71.0,-280.0,12.222222222222221
42, Sylas,6,5,12,4.0,2.0,67.0,4.6,6.6,32:14:00,8.4,414.0,399.0,-5.7,-804.0,101.0,12.222222222222221
