,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
0, Kaisa,168,123,95,97.0,71.0,58.0,4.4,4.6,30:28:00,9.7,484.0,458.0,0.5,-99.0,-2.0,95.09803921568627
1, Renekton,100,169,88,55.0,45.0,55.0,3.2,4.7,30:51:00,8.2,395.0,388.0,4.8,226.0,68.0,87.90849673202614
2, Gnar,124,132,84,66.0,58.0,53.0,2.8,6.1,31:05:00,8.1,465.0,385.0,2.5,27.0,116.0,83.66013071895425
3, Alistar,157,84,79,80.0,77.0,51.0,3,7.4,30:43:00,1.1,147.0,235.0,0.1,13.0,1.0,78.75816993464052
4, Zoe,62,172,76,28.0,34.0,45.0,4.4,3.6,30:59:00,8.0,550.0,379.0,0.8,157.0,70.0,76.47058823529412
5, Olaf,108,113,72,52.0,56.0,48.0,3.3,4.3,30:39:00,6.0,348.0,349.0,-2.7,-186.0,-219.0,72.22222222222221
6, Orianna,115,95,69,64.0,51.0,56.0,5.3,6.8,31:17:00,8.8,474.0,402.0,4.8,81.0,152.0,68.62745098039215
7, Gragas,103,99,66,59.0,44.0,57.0,3,5.1,31:03:00,4.1,316.0,290.0,-4.6,-138.0,-35.0,66.01307189542483
8, Udyr,125,70,64,57.0,68.0,46.0,4,4.3,29:48:00,6.4,220.0,350.0,5.3,205.0,302.0,63.725490196078425
9, Thresh,71,121,63,35.0,36.0,49.0,2.8,4.8,31:22:00,1.1,101.0,230.0,2.8,56.0,85.0,62.745098039215684
10, Rell,107,73,59,62.0,45.0,58.0,2.7,6,29:43:00,1.1,148.0,235.0,-1.3,-69.0,-64.0,58.82352941176471
11, Lillia,92,82,57,48.0,44.0,52.0,3.8,4.5,30:29:00,6.6,414.0,361.0,4.4,38.0,107.0,56.86274509803921
12, Twisted Fate,40,132,56,22.0,18.0,55.0,4.3,4.1,30:44:00,8.1,427.0,413.0,-9.8,275.0,-200.0,56.209150326797385
13, Camille,45,124,55,24.0,21.0,53.0,3.2,4.9,30:07:00,8.1,438.0,403.0,-3.8,94.0,-82.0,55.22875816993464
14, Tristana,90,67,51,50.0,40.0,56.0,3.9,5.2,29:49:00,9.6,473.0,448.0,-2.0,133.0,169.0,51.307189542483655
15, Azir,85,69,50,45.0,40.0,53.0,3.5,6.2,31:25:00,9.1,554.0,403.0,5.7,-8.0,153.0,50.326797385620914
16, Nidalee,40,109,49,24.0,16.0,60.0,4.2,3.1,31:48:00,6.7,427.0,372.0,4.1,178.0,232.0,48.69281045751634
