Champion,Picks_x,Bans_x,Picks_y,Bans_y,Picks_x,Bans_x,Picks_y,Bans_y,Picks,Bans,True Presence
Kaisa,153,35,56,21,168,123,52,23,429,202,90.01426534
Renekton,56,121,28,49,100,169,29,34,213,373,83.59486448
Gnar,81,112,31,31,124,132,25,20,261,295,79.31526391
Alistar,89,58,39,21,157,84,40,23,325,186,72.89586305
Rell,82,90,43,41,107,73,39,30,271,234,72.03994294
Udyr,66,84,18,70,125,70,20,47,229,271,71.32667618
Olaf,67,62,22,61,108,113,17,34,214,270,69.04422254
Thresh,44,86,16,33,71,121,17,63,148,303,64.33666191
Gragas,78,62,29,19,103,99,31,20,241,200,62.91012839
Orianna,78,51,33,22,115,95,31,16,257,184,62.91012839
Lillia,65,59,32,24,92,82,37,30,226,195,60.05706134
Azir,62,72,38,29,85,69,25,18,210,188,56.77603424
Zoe,50,35,9,5,62,172,9,17,130,229,51.2125535
Twisted Fate,14,41,9,30,40,132,18,69,81,272,50.35663338
Syndra,83,49,26,22,60,68,22,18,191,157,49.64336662
Camille,37,49,19,27,45,124,9,28,110,228,48.2168331
Seraphine,29,107,12,58,23,52,12,24,76,241,45.2211127
Nidalee,69,41,9,9,40,109,15,6,133,165,42.510699
Tristana,36,29,29,21,90,67,11,15,166,132,42.510699
Hecarim,35,39,36,28,70,52,24,13,165,132,42.36804565
Samira,61,45,10,4,59,80,10,7,140,136,39.37232525
Pantheon,23,51,7,23,33,94,10,25,73,193,37.94579173
Graves,55,40,15,10,65,25,23,17,158,92,35.66333809
Xayah,40,11,19,10,81,35,27,12,167,68,33.5235378
Aphelios,43,54,10,5,55,48,13,3,121,110,32.95292439
Jayce,22,32,4,7,66,79,6,10,98,128,32.23965763
Leona,39,10,13,5,82,46,20,7,154,68,31.66904422
Taliyah,19,85,12,7,22,37,8,30,61,159,31.38373752
Aatrox,29,29,12,4,54,43,13,18,108,94,28.81597718
Lucian,15,45,10,11,35,52,14,17,74,125,28.38801712
Galio,28,32,10,10,55,43,7,3,100,88,26.81883024
Sion,51,21,11,4,44,21,20,7,126,53,25.53495007
Viktor,52,21,13,4,51,17,10,4,126,46,24.5363766
Kalista,16,59,8,13,19,17,10,25,53,114,23.82310984
Senna,19,25,16,41,11,6,12,28,58,100,22.53922967
Gangplank,15,15,18,26,26,23,7,13,66,77,20.39942939
Sett,29,22,2,2,40,35,5,3,76,62,19.68616262
Ornn,20,29,2,0,34,44,5,0,61,73,19.11554922
Rakan,31,23,8,5,21,20,12,7,72,55,18.11697575
Nautilus,25,12,15,4,31,10,9,5,80,31,15.83452211
Akali,6,31,0,0,5,50,1,5,12,86,13.98002853
Irelia,11,30,4,16,11,19,3,0,29,65,13.40941512
Yone,10,35,7,6,9,17,4,0,30,58,12.55349501
Jhin,13,0,3,1,32,7,20,1,68,9,10.98430813
Ryze,4,0,5,7,24,17,12,8,45,32,10.98430813
Sylas,8,7,5,3,16,14,6,5,35,29,9.129814551
Jinx,17,4,4,2,30,4,1,0,52,10,8.844507846
Ezreal,15,14,5,5,11,3,6,2,37,24,8.701854494
Skarner,4,5,12,3,4,2,8,14,28,24,7.417974322
Vayne,8,0,3,1,20,10,5,4,36,15,7.27532097
Tahm Kench,12,4,15,2,7,0,7,2,41,8,6.990014265
Nocturne,2,4,2,3,12,21,3,0,19,28,6.704707561
Miss Fortune,3,1,5,2,17,7,4,6,29,16,6.419400856
Kennen,6,11,2,0,9,4,3,1,20,16,5.135520685
Kindred,11,9,1,2,5,6,1,0,18,17,4.992867332
Volibear,11,6,0,0,5,4,5,3,21,13,4.85021398
Shen,4,1,8,8,4,0,5,2,21,11,4.564907275
Jarvan IV,7,4,3,2,3,1,10,1,23,8,4.422253923
Rumble,4,3,1,0,14,5,1,1,20,9,4.136947218
Kayn,6,4,4,1,8,3,1,1,19,9,3.994293866
Caitlyn,0,0,3,0,2,0,5,17,10,17,3.851640514
Varus,4,1,1,1,10,9,0,0,15,11,3.708987161
Quinn,5,9,1,0,3,5,2,0,11,14,3.566333809
Malphite,2,1,1,1,5,8,2,5,10,15,3.566333809
LeBlanc,1,0,3,1,11,3,5,1,20,5,3.566333809
Maokai,5,8,1,0,8,2,0,0,14,10,3.423680456
Wukong,3,0,0,0,11,7,3,0,17,7,3.423680456
Chogath,6,1,3,0,6,2,3,2,18,5,3.281027104
Dr. Mundo,5,2,4,0,6,2,4,0,19,4,3.281027104
Corki,2,0,3,0,9,1,4,4,18,5,3.281027104
Karma,3,0,3,3,7,2,3,1,16,6,3.138373752
Lulu,5,5,4,2,2,0,3,0,14,7,2.995720399
Cassiopeia,3,0,0,1,5,7,0,0,8,8,2.282453638
Karthus,2,1,0,0,8,4,1,0,11,5,2.282453638
Ekko,0,3,2,0,2,2,4,2,8,7,2.139800285
Jax,1,1,2,1,5,0,2,2,10,4,1.997146933
Ashe,1,0,2,0,2,0,3,5,8,5,1.854493581
Kled,1,0,3,2,3,3,1,0,8,5,1.854493581
Braum,2,0,0,0,3,1,4,2,9,3,1.711840228
Blitzcrank,1,0,5,1,0,0,2,3,8,4,1.711840228
Morgana,0,1,2,2,2,1,2,2,6,6,1.711840228
Lee Sin,4,0,0,0,5,2,0,0,9,2,1.569186876
Zilean,3,0,0,0,1,6,0,0,4,6,1.426533524
Sejuani,0,0,0,0,7,3,0,0,7,3,1.426533524
Sivir,1,0,2,0,3,0,2,1,8,1,1.283880171
Neeko,3,0,2,0,2,0,0,0,7,0,0.998573466
RekSai,1,0,2,2,1,0,1,0,5,2,0.998573466
Elise,0,0,0,0,1,6,0,0,1,6,0.998573466
Bard,0,0,2,1,3,0,1,0,6,1,0.998573466
Kassadin,0,1,0,0,4,1,0,0,4,2,0.855920114
Draven,0,0,2,1,1,1,0,1,3,3,0.855920114
Mordekaiser,4,0,1,0,0,0,0,0,5,0,0.713266762
Yuumi,2,0,0,0,0,0,0,2,2,2,0.570613409
Janna,1,0,2,0,1,0,0,0,4,0,0.570613409
Trundle,1,0,0,0,3,0,0,0,4,0,0.570613409
Veigar,1,0,1,0,0,1,1,0,3,1,0.570613409
Fiora,0,0,0,0,2,1,1,0,3,1,0.570613409
Ivern,0,0,1,0,0,0,3,0,4,0,0.570613409
Pyke,3,0,0,0,0,0,0,0,3,0,0.427960057
Ahri,0,0,1,0,0,0,2,0,3,0,0.427960057
Lux,0,0,0,0,0,0,1,2,1,2,0.427960057
Vladimir,1,0,0,0,0,0,1,0,2,0,0.285306705
Rengar,0,0,1,0,0,1,0,0,1,1,0.285306705
Fizz,1,0,0,0,0,0,0,0,1,0,0.142653352
Heimerdinger,1,0,0,0,0,0,0,0,1,0,0.142653352
Kayle,1,0,0,0,0,0,0,0,1,0,0.142653352
KogMaw,1,0,0,0,0,0,0,0,1,0,0.142653352
Nasus,1,0,0,0,0,0,0,0,1,0,0.142653352
Evelynn,0,0,0,0,0,0,1,0,1,0,0.142653352
Fiddlesticks,0,0,0,0,0,0,0,1,0,1,0.142653352
Garen,0,0,0,0,0,1,0,0,0,1,0.142653352
Malzahar,0,0,0,1,0,0,0,0,0,1,0.142653352
Poppy,0,0,0,0,0,0,0,1,0,1,0.142653352
Riven,0,0,0,0,0,0,1,0,1,0,0.142653352
Taric,0,0,0,0,1,0,0,0,1,0,0.142653352
Teemo,0,0,0,0,0,1,0,0,0,1,0.142653352
Urgot,0,0,0,0,0,0,1,0,1,0,0.142653352
Yasuo,0,0,1,0,0,0,0,0,1,0,0.142653352
Ziggs,0,0,1,0,0,0,0,0,1,0,0.142653352
Qiyana,0,0,0,0,0,0,1,0,1,0,0.142653352
Amumu,0,0,0,0,0,0,0,0,0,0,0
Anivia,0,0,0,0,0,0,0,0,0,0,0
Annie,0,0,0,0,0,0,0,0,0,0,0
Brand,0,0,0,0,0,0,0,0,0,0,0
Darius,0,0,0,0,0,0,0,0,0,0,0
Diana,0,0,0,0,0,0,0,0,0,0,0
Katarina,0,0,0,0,0,0,0,0,0,0,0
KhaZix,0,0,0,0,0,0,0,0,0,0,0
Lissandra,0,0,0,0,0,0,0,0,0,0,0
Master Yi,0,0,0,0,0,0,0,0,0,0,0
Nami,0,0,0,0,0,0,0,0,0,0,0
Nunu,0,0,0,0,0,0,0,0,0,0,0
Rammus,0,0,0,0,0,0,0,0,0,0,0
Shaco,0,0,0,0,0,0,0,0,0,0,0
Shyvana,0,0,0,0,0,0,0,0,0,0,0
Singed,0,0,0,0,0,0,0,0,0,0,0
Sona,0,0,0,0,0,0,0,0,0,0,0
Soraka,0,0,0,0,0,0,0,0,0,0,0
Swain,0,0,0,0,0,0,0,0,0,0,0
Talon,0,0,0,0,0,0,0,0,0,0,0
Tryndamere,0,0,0,0,0,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,0,0,0,0,0
Vi,0,0,0,0,0,0,0,0,0,0,0
Warwick,0,0,0,0,0,0,0,0,0,0,0
Xerath,0,0,0,0,0,0,0,0,0,0,0
Xin Zhao,0,0,0,0,0,0,0,0,0,0,0
Yorick,0,0,0,0,0,0,0,0,0,0,0
Zac,0,0,0,0,0,0,0,0,0,0,0
Zed,0,0,0,0,0,0,0,0,0,0,0
Zyra,0,0,0,0,0,0,0,0,0,0,0
VelKoz,0,0,0,0,0,0,0,0,0,0,0
Illaoi,0,0,0,0,0,0,0,0,0,0,0
Aurelion Sol,0,0,0,0,0,0,0,0,0,0,0
