Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Gnar,81,112,90%,36,45,44%,2.3,5.8,33:28:00,8.1,459,384,4.6,236,139
 Kaisa,153,35,87%,71,82,46%,3.7,5.3,33:13:00,9.7,427,438,-0.9,-174,-76
 Renekton,56,121,82%,32,24,57%,3.3,4.3,32:24:00,8.5,392,397,10.9,360,215
 Rell,82,90,80%,38,44,46%,2.4,5,32:23:00,1.2,133,224,0.3,-60,-49
 Udyr,66,84,70%,35,31,53%,4.7,4,33:30:00,6.3,222,341,3.2,-5,69
 Alistar,89,58,68%,43,46,48%,2.8,7,32:50:00,1.1,116,223,1.9,-122,-94
 Gragas,78,62,65%,41,37,53%,3.1,5.9,32:47:00,5.1,389,312,-5.2,-183,35
 Seraphine,29,107,63%,16,13,55%,5.2,3.3,32:57:00,5.3,307,322,-13.9,-256,-304
 Azir,62,72,62%,31,31,50%,3.5,6.6,32:22:00,9.2,518,401,-0.4,-180,92
 Syndra,83,49,61%,43,40,52%,3.2,6.6,33:20:00,8.8,471,383,0.3,-112,-168
 Thresh,44,86,60%,25,19,57%,3.3,3.6,33:41:00,1.1,93,228,3.3,78,61
 Olaf,67,62,60%,30,37,45%,3.1,4.6,32:19:00,5.9,320,341,-6.2,-136,-269
 Orianna,78,51,60%,39,39,50%,4.2,7.9,33:55:00,9.2,435,398,3.3,109,55
 Lillia,65,59,58%,29,36,45%,3.7,5.1,33:31:00,6.7,365,347,1.9,19,47
 Nidalee,69,41,51%,34,35,49%,4.1,4,32:55:00,6.7,385,361,3.5,104,218
 Samira,61,45,49%,26,35,43%,3.4,4.3,32:31:00,9,356,416,-1.2,-77,-48
 Taliyah,19,85,48%,17,2,89%,4.4,3.8,33:13:00,6.8,364,377,5.7,587,468
 Aphelios,43,54,45%,22,21,51%,3.2,4.3,33:05:00,9.9,466,442,5.3,380,39
 Graves,55,40,44%,28,27,51%,3.8,4.8,33:17:00,7.4,379,377,4,29,198
 Camille,37,49,40%,19,18,51%,2.7,6.2,33:13:00,8.4,442,409,-2.4,77,-6
 Zoe,50,35,40%,26,24,52%,6.1,7,32:02:00,8.7,540,391,2.1,191,90
 Kalista,16,59,35%,10,6,63%,4.9,4,34:02:00,9.5,400,440,8.8,447,324
 Hecarim,35,39,34%,19,16,54%,4.3,5.2,31:49:00,6.3,325,348,-4.5,18,-147
 Pantheon,23,51,34%,10,13,43%,2.2,4.2,32:25:00,5.6,339,328,-7.8,-34,-323
 Viktor,52,21,34%,25,27,48%,3.9,8.5,33:39:00,9.1,631,402,-2.6,-174,-80
 Sion,51,21,33%,27,24,53%,3.4,8.1,31:59:00,7.2,406,338,-12.9,-559,-221
 Tristana,36,29,30%,17,19,47%,3.5,5.6,31:12:00,9.9,432,435,-2.5,237,133
 Galio,28,32,28%,14,14,50%,2.8,8.1,33:12:00,2.8,218,263,-2.5,-187,-79
 Lucian,15,45,28%,11,4,73%,5.1,4.2,32:24:00,10,603,463,15.3,813,407
 Aatrox,29,29,27%,13,16,45%,2.8,7.8,32:13:00,8.4,490,379,5.1,190,144
 Twisted Fate,14,41,26%,3,11,21%,3.7,5.3,33:34:00,8.7,441,417,0.4,679,75
 Jayce,22,32,25%,12,10,55%,2.4,8.6,31:40:00,8.7,611,410,20.5,811,488
 Rakan,31,23,25%,13,18,42%,2.8,8,34:53:00,0.9,154,221,-6.5,15,82
 Xayah,40,11,24%,23,17,58%,3.7,7.5,33:42:00,9.8,493,434,-3.7,30,41
 Sett,29,22,24%,9,20,31%,1.8,6.7,32:29:00,3.6,252,275,-2.7,-29,-126
 Leona,39,10,23%,21,18,54%,2.6,8.5,32:49:00,1.2,112,229,-0.1,18,-18
 Ornn,20,29,23%,13,7,65%,5.1,8.8,32:40:00,7.1,336,337,-9.3,-406,-223
 Yone,10,35,21%,6,4,60%,5.3,7.2,32:22:00,9.7,408,429,-0.7,239,313
 Senna,19,25,20%,13,6,68%,7.2,3.8,33:04:00,3.1,571,354,-4.7,699,401
 Irelia,11,30,19%,8,3,73%,3.3,6.2,34:41:00,9.4,422,437,16,661,270
 Akali,6,31,17%,4,2,67%,3.9,4.5,31:54:00,8,549,390,3.7,177,202
 Nautilus,25,12,17%,14,11,56%,2.6,8.6,32:28:00,1.5,144,239,-1.2,-404,-185
 Gangplank,15,15,14%,5,10,33%,3.4,9.1,35:17:00,8.7,664,442,-5,344,-233
 Ezreal,15,14,13%,11,4,73%,5.1,7.5,30:56:00,9.6,644,443,7.9,61,2
