Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Udyr,18,70,98%,9,9,50%,5.1,2.7,33:41:00,6.8,187,358,10.9,367,344
 Rell,43,41,93%,24,19,56%,3.3,5.1,34:51:00,1.1,129,226,2.5,22,-123
 Olaf,22,61,92%,16,6,73%,3.9,4,36:23:00,6.2,341,351,-2,-105,-86
 Renekton,28,49,86%,19,9,68%,3.2,3.8,33:32:00,8.3,371,398,14.6,690,155
 Kaisa,56,21,86%,30,26,54%,4.5,4.8,33:37:00,9.4,446,445,-1.2,-71,-7
 Seraphine,12,58,78%,6,6,50%,6.9,3.4,33:50:00,6.1,294,336,-8.1,-65,1
 Azir,38,29,74%,21,17,55%,3.4,5.2,32:01:00,9.2,511,415,3,260,218
 Hecarim,36,28,71%,19,17,53%,4.4,5.4,34:21:00,6.2,267,346,-1.6,138,14
 Gnar,31,31,69%,16,15,52%,3.2,6.6,34:15:00,7.6,464,379,-3.1,-126,-18
 Alistar,39,21,67%,18,21,46%,3.3,7.6,34:05:00,1.1,124,226,-0.8,-145,16
 Senna,16,41,63%,6,10,38%,3.7,5,32:26:00,3,519,326,-0.8,671,406
 Lillia,32,24,62%,16,16,50%,3.8,5.1,33:23:00,6.7,337,342,4.4,148,305
 Orianna,33,22,61%,16,17,48%,4.4,8,35:29:00,9.2,458,396,5.9,-55,129
 Tristana,29,21,56%,18,11,62%,3.9,5.1,34:16:00,9.5,478,442,4.9,564,352
 Thresh,16,33,54%,7,9,44%,2.6,5.4,34:20:00,1.1,88,223,1.6,69,-113
 Gragas,29,19,53%,13,16,45%,2.7,7.4,33:40:00,6.3,316,322,-10.9,-408,-112
 Syndra,26,22,53%,9,17,35%,2.6,7.5,34:58:00,9,433,377,2,-231,-257
 Camille,19,27,51%,8,11,42%,2,5.4,31:53:00,7.5,374,376,-10.7,-336,-310
 Gangplank,18,26,49%,6,12,33%,2,7.3,35:03:00,8.1,580,403,8.7,319,-89
 Twisted Fate,9,30,43%,4,5,44%,3.2,4.1,34:02:00,7.9,386,402,-13.1,-147,-492
 Pantheon,7,23,33%,5,2,71%,2.5,4.7,29:52:00,4.2,290,300,-6.4,27,-182
 Xayah,19,10,32%,8,11,42%,3.1,7.7,35:26:00,9.7,502,428,-2.9,-566,-252
 Graves,15,10,28%,3,12,20%,1.8,5.8,32:51:00,6.8,289,337,-1.2,-307,-205
 Lucian,10,11,23%,4,6,40%,2.4,5.3,32:39:00,8.9,472,413,-1.7,313,-121
 Kalista,8,13,23%,6,2,75%,6.4,6.2,32:00:00,9.5,403,445,8.4,283,136
 Galio,10,10,22%,5,5,50%,3.1,6.7,34:08:00,3,209,263,-10.4,-485,-328
 Irelia,4,16,22%,3,1,75%,2.4,6.1,32:52:00,9.1,432,456,24,1145,476
 Nautilus,15,4,21%,9,6,60%,4.1,8.3,31:58:00,1.2,140,232,0.2,-77,-72
 Taliyah,12,7,21%,5,7,42%,3,5,32:34:00,6.9,440,375,1.3,-209,122
 Leona,13,5,20%,6,7,46%,2.5,8.4,35:09:00,1.2,101,224,3.3,52,76
 Nidalee,9,9,20%,5,4,56%,5.2,7.1,32:05:00,6.3,320,350,-0.9,101,-8
 Viktor,13,4,19%,6,7,46%,2.6,8.5,35:51:00,9,609,397,-2.9,-122,-107
 Tahm Kench,15,2,19%,6,9,40%,2.8,8.5,31:50:00,5.1,143,301,-8,-216,-342
 Aatrox,12,4,18%,6,6,50%,4,9.3,35:21:00,8.1,480,389,7.7,283,249
 Shen,8,8,18%,6,2,75%,5.7,8.3,34:16:00,7.5,386,389,3.9,190,597
 Sion,11,4,17%,2,9,18%,1.7,7.5,34:16:00,7.3,397,330,-14.6,-570,-226
 Skarner,12,3,17%,4,8,33%,3.1,4.7,34:14:00,5.8,151,308,-3.9,-347,-287
 Aphelios,10,5,17%,6,4,60%,3.1,8.2,35:59:00,9.8,523,442,6.8,636,158
 Zoe,9,5,16%,5,4,56%,4.7,8.2,36:28:00,7.9,538,378,0.3,156,316
 Samira,10,4,16%,3,7,30%,2.3,8,35:06:00,8.9,344,419,2.8,103,332
 Rakan,8,5,14%,4,4,50%,3.4,8.8,35:49:00,1,128,227,-6.4,-256,-202
 Yone,7,6,14%,5,2,71%,5.4,7.5,30:12:00,9.1,454,417,-7,-79,161
 Ryze,5,7,13%,3,2,60%,3,8.9,33:40:00,9.6,591,445,7,-117,-41
 Jayce,4,7,12%,2,2,50%,2.2,8.7,33:45:00,9.7,609,419,26.2,834,510
 Ezreal,5,5,11%,3,2,60%,3.9,8.4,32:48:00,9,735,418,4,294,157
 Sylas,5,3,9%,4,1,80%,6.3,9,31:42:00,8,507,397,-11.8,-190,-52
 Miss Fortune,5,2,8%,4,1,80%,5.4,8.5,31:06:00,8.9,419,434,6.6,356,230
 Blitzcrank,5,1,7%,2,3,40%,2.4,9,31:21:00,1,133,219,2.6,-996,-708
 Jinx,4,2,7%,0,4,0%,2,7.5,34:28:00,9.5,561,394,-1.5,-206,-333
 Karma,3,3,7%,2,1,67%,12,8.7,32:29:00,6.8,272,335,-16.3,-405,-65
 Lulu,4,2,7%,2,2,50%,8,6.5,34:10:00,3,208,264,-8.2,-309,-167
 Jarvan IV,3,2,6%,2,1,67%,4.4,9.5,34:16:00,5.4,236,329,-14,-336,-708
 Nocturne,2,3,6%,0,2,0%,3,8,43:24:00,5.9,292,315,2.5,-411,-38
 Kled,3,2,6%,2,1,67%,3.3,6.5,35:36:00,6.5,342,339,-14.3,-762,-692
