Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Twisted Fate,18,69,97%,14,4,78%,7.3,3.3,32:24:00,8.3,475,430,-12.7,130,-144
 Thresh,17,63,89%,7,10,41%,2.2,4.2,33:23:00,1.1,99,225,3.4,-187,-74
 Kaisa,52,23,83%,24,28,46%,3.9,4.6,32:39:00,9.4,472,443,2.8,-118,160
 Rell,39,30,77%,25,14,64%,2.7,5.5,32:16:00,1.1,145,236,1.3,-49,-94
 Udyr,20,47,74%,8,12,40%,2.9,3.8,33:05:00,6.1,188,329,2.6,-53,16
 Lillia,37,30,74%,18,19,49%,3,4.5,34:10:00,6.2,351,335,1.2,96,-33
 Alistar,40,23,70%,18,22,45%,2.6,7.6,32:30:00,1,155,226,-0.5,-42,46
 Renekton,29,34,70%,13,16,45%,2.7,5.7,34:00:00,8.1,362,376,7.8,260,91
 Gragas,31,20,57%,14,17,45%,3,7.4,33:08:00,6.2,364,329,-10.8,-345,-224
 Olaf,17,34,57%,10,7,59%,3.7,4.1,33:18:00,6,421,360,1.1,-214,-103
 Orianna,31,16,52%,17,14,55%,5,7.5,33:09:00,9,494,406,4.6,135,201
 Gnar,25,20,50%,9,16,36%,3.4,8.5,32:22:00,8,515,381,7.8,168,114
 Azir,25,18,48%,14,11,56%,3.2,4.1,33:02:00,9.3,488,407,3.3,-48,192
 Graves,23,17,44%,12,11,52%,4.1,4.9,32:52:00,7.3,413,389,8.4,186,490
 Syndra,22,18,44%,5,17,23%,2.1,8.2,33:52:00,8.7,479,384,5.3,33,116
 Senna,12,28,44%,7,5,58%,5.6,4,33:44:00,3.2,622,359,-2.4,702,583
 Xayah,27,12,43%,17,10,63%,4.6,7.6,33:32:00,9.8,555,456,-1.7,243,-55
 Taliyah,8,30,42%,7,1,88%,5.7,4,30:24:00,7,446,396,11.2,398,533
 Hecarim,24,13,41%,10,14,42%,3.3,6.2,32:36:00,5.8,274,324,-7.3,-343,-336
 Camille,9,28,41%,3,6,33%,1.7,5,32:13:00,7.7,402,368,-5.2,-224,-255
