Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
 Kaisa,168,123,95%,97,71,58%,4.4,4.6,30:28:00,9.7,484,458,0.5,-99,-2,13.07189
 Renekton,100,169,88%,55,45,55%,3.2,4.7,30:51:00,8.2,395,388,4.8,226,68,13.07189
 Gnar,124,132,84%,66,58,53%,2.8,6.1,31:05:00,8.1,465,385,2.5,27,116,13.07189
 Alistar,157,84,79%,80,77,51%,3,7.4,30:43:00,1.1,147,235,0.1,13,1,13.07189
 Zoe,62,172,76%,28,34,45%,4.4,3.6,30:59:00,8,550,379,0.8,157,70,13.07189
 Olaf,108,113,72%,52,56,48%,3.3,4.3,30:39:00,6,348,349,-2.7,-186,-219,13.07189
 Orianna,115,95,69%,64,51,56%,5.3,6.8,31:17:00,8.8,474,402,4.8,81,152,13.07189
 Gragas,103,99,66%,59,44,57%,3,5.1,31:03:00,4.1,316,290,-4.6,-138,-35,13.07189
 Udyr,125,70,64%,57,68,46%,4,4.3,29:48:00,6.4,220,350,5.3,205,302,13.07189
 Thresh,71,121,63%,35,36,49%,2.8,4.8,31:22:00,1.1,101,230,2.8,56,85,13.07189
 Rell,107,73,59%,62,45,58%,2.7,6,29:43:00,1.1,148,235,-1.3,-69,-64,13.07189
 Lillia,92,82,57%,48,44,52%,3.8,4.5,30:29:00,6.6,414,361,4.4,38,107,13.07189
 Twisted Fate,40,132,56%,22,18,55%,4.3,4.1,30:44:00,8.1,427,413,-9.8,275,-200,13.07189
 Camille,45,124,55%,24,21,53%,3.2,4.9,30:07:00,8.1,438,403,-3.8,94,-82,13.07189
 Tristana,90,67,51%,50,40,56%,3.9,5.2,29:49:00,9.6,473,448,-2,133,169,13.07189
 Azir,85,69,50%,45,40,53%,3.5,6.2,31:25:00,9.1,554,403,5.7,-8,153,13.07189
 Nidalee,40,109,49%,24,16,60%,4.2,3.1,31:48:00,6.7,427,372,4.1,178,232,13.07189
 Jayce,66,79,47%,39,27,59%,2.9,7.4,30:14:00,8.2,632,399,7.3,202,8,13.07189
 Samira,59,80,45%,22,37,37%,3.1,5,31:15:00,9.3,401,427,0.7,55,-24,13.07189
 Leona,82,46,42%,41,41,50%,2.4,7.7,31:07:00,1.3,116,237,1.1,38,-59,13.07189
 Syndra,60,68,42%,18,42,30%,2.4,6,30:59:00,8.4,501,370,1.6,-120,-223,13.07189
 Pantheon,33,94,42%,23,10,70%,4.4,4.2,31:36:00,5.9,358,364,-7,174,-79,13.07189
 Hecarim,70,52,40%,37,33,53%,3.9,4.4,30:42:00,6,316,350,-4.8,-11,-128,13.07189
 Xayah,81,35,38%,47,34,58%,4.6,7.8,30:55:00,10,538,453,1.1,194,132,13.07189
 Aphelios,55,48,34%,26,29,47%,3.1,5.4,31:22:00,9.9,532,449,7.9,454,27,13.07189
 Galio,55,43,32%,23,32,42%,3.1,6.5,30:37:00,4.6,309,299,-8.3,-254,-120,13.07189
 Aatrox,54,43,32%,22,32,41%,2.6,7.6,30:58:00,8,434,371,3,-37,144,13.07189
 Graves,65,25,29%,19,46,29%,3.2,5.8,32:05:00,7,341,370,2.9,36,78,13.07189
 Lucian,35,52,28%,22,13,63%,3.9,7.2,31:04:00,9.3,532,447,8.9,647,210,13.07189
 Ornn,34,44,25%,11,23,32%,2.4,7.2,31:31:00,7.1,349,326,-19,-808,-408,13.07189
 Sett,40,35,25%,21,19,53%,2.7,7.8,30:10:00,3.3,244,285,2.3,77,145,13.07189
 Seraphine,23,52,25%,10,13,43%,3.3,4.6,28:05:00,5.5,268,304,-12,-438,-279,13.07189
 Viktor,51,17,22%,26,25,51%,3.4,8.4,31:14:00,8.7,615,390,0,-187,52,13.07189
 Sion,44,21,21%,18,26,41%,2.7,7.9,30:53:00,7,363,337,-14.1,-608,-307,13.07189
 Taliyah,22,37,19%,16,6,73%,3.5,4.2,32:15:00,6.9,454,378,8,45,370,13.07189
