Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Gnar,81,112,90,36.0,45.0,44.0,2.3,5.8,33:28:00,8.1,459.0,384.0,4.6,236.0,139.0,89.76744186046511,31,31,69,16.0,15.0,52.0,3.2,6.6,34:15:00,7.6,464.0,379.0,-3.1,-126.0,-18.0,68.88888888888889,124,132,84,66.0,58.0,53.0,2.8,6.1,31:05:00,8.1,465.0,385.0,2.5,27.0,116.0,83.66013071895425,25,20,50,9.0,16.0,36.0,3.4,8.5,32:22:00,8.0,515.0,381.0,7.8,168.0,114.0,50.0
 Kaisa,153,35,87,71.0,82.0,46.0,3.7,5.3,33:13:00,9.7,427.0,438.0,-0.9,-174.0,-76.0,87.44186046511628,56,21,86,30.0,26.0,54.0,4.5,4.8,33:37:00,9.4,446.0,445.0,-1.2,-71.0,-7.0,85.55555555555556,168,123,95,97.0,71.0,58.0,4.4,4.6,30:28:00,9.7,484.0,458.0,0.5,-99.0,-2.0,95.09803921568627,52,23,83,24.0,28.0,46.0,3.9,4.6,32:39:00,9.4,472.0,443.0,2.8,-118.0,160.0,83.33333333333334
 Renekton,56,121,82,32.0,24.0,57.0,3.3,4.3,32:24:00,8.5,392.0,397.0,10.9,360.0,215.0,82.32558139534883,28,49,86,19.0,9.0,68.0,3.2,3.8,33:32:00,8.3,371.0,398.0,14.6,690.0,155.0,85.55555555555556,100,169,88,55.0,45.0,55.0,3.2,4.7,30:51:00,8.2,395.0,388.0,4.8,226.0,68.0,87.90849673202614,29,34,70,13.0,16.0,45.0,2.7,5.7,34:00:00,8.1,362.0,376.0,7.8,260.0,91.0,70.0
 Rell,82,90,80,38.0,44.0,46.0,2.4,5,32:23:00,1.2,133.0,224.0,0.3,-60.0,-49.0,80.0,43,41,93,24.0,19.0,56.0,3.3,5.1,34:51:00,1.1,129.0,226.0,2.5,22.0,-123.0,93.33333333333333,107,73,59,62.0,45.0,58.0,2.7,6,29:43:00,1.1,148.0,235.0,-1.3,-69.0,-64.0,58.82352941176471,39,30,77,25.0,14.0,64.0,2.7,5.5,32:16:00,1.1,145.0,236.0,1.3,-49.0,-94.0,76.66666666666667
 Udyr,66,84,70,35.0,31.0,53.0,4.7,4,33:30:00,6.3,222.0,341.0,3.2,-5.0,69.0,69.76744186046511,18,70,98,9.0,9.0,50.0,5.1,2.7,33:41:00,6.8,187.0,358.0,10.9,367.0,344.0,97.77777777777777,125,70,64,57.0,68.0,46.0,4,4.3,29:48:00,6.4,220.0,350.0,5.3,205.0,302.0,63.725490196078425,20,47,74,8.0,12.0,40.0,2.9,3.8,33:05:00,6.1,188.0,329.0,2.6,-53.0,16.0,74.44444444444444
 Alistar,89,58,68,43.0,46.0,48.0,2.8,7,32:50:00,1.1,116.0,223.0,1.9,-122.0,-94.0,68.37209302325581,39,21,67,18.0,21.0,46.0,3.3,7.6,34:05:00,1.1,124.0,226.0,-0.8,-145.0,16.0,66.66666666666666,157,84,79,80.0,77.0,51.0,3,7.4,30:43:00,1.1,147.0,235.0,0.1,13.0,1.0,78.75816993464052,40,23,70,18.0,22.0,45.0,2.6,7.6,32:30:00,1.0,155.0,226.0,-0.5,-42.0,46.0,70.0
 Gragas,78,62,65,41.0,37.0,53.0,3.1,5.9,32:47:00,5.1,389.0,312.0,-5.2,-183.0,35.0,65.11627906976744,29,19,53,13.0,16.0,45.0,2.7,7.4,33:40:00,6.3,316.0,322.0,-10.9,-408.0,-112.0,53.333333333333336,103,99,66,59.0,44.0,57.0,3,5.1,31:03:00,4.1,316.0,290.0,-4.6,-138.0,-35.0,66.01307189542483,31,20,57,14.0,17.0,45.0,3,7.4,33:08:00,6.2,364.0,329.0,-10.8,-345.0,-224.0,56.666666666666664
 Seraphine,29,107,63,16.0,13.0,55.0,5.2,3.3,32:57:00,5.3,307.0,322.0,-13.9,-256.0,-304.0,63.25581395348837,12,58,78,6.0,6.0,50.0,6.9,3.4,33:50:00,6.1,294.0,336.0,-8.1,-65.0,1.0,77.77777777777779,23,52,25,10.0,13.0,43.0,3.3,4.6,28:05:00,5.5,268.0,304.0,-12.0,-438.0,-279.0,24.509803921568626,12,24,40,7.0,5.0,58.0,4.7,5,31:53:00,4.7,277.0,304.0,-14.0,-454.0,-220.0,40.0
 Azir,62,72,62,31.0,31.0,50.0,3.5,6.6,32:22:00,9.2,518.0,401.0,-0.4,-180.0,92.0,62.32558139534884,38,29,74,21.0,17.0,55.0,3.4,5.2,32:01:00,9.2,511.0,415.0,3.0,260.0,218.0,74.44444444444444,85,69,50,45.0,40.0,53.0,3.5,6.2,31:25:00,9.1,554.0,403.0,5.7,-8.0,153.0,50.326797385620914,25,18,48,14.0,11.0,56.0,3.2,4.1,33:02:00,9.3,488.0,407.0,3.3,-48.0,192.0,47.77777777777778
 Syndra,83,49,61,43.0,40.0,52.0,3.2,6.6,33:20:00,8.8,471.0,383.0,0.3,-112.0,-168.0,61.395348837209305,26,22,53,9.0,17.0,35.0,2.6,7.5,34:58:00,9.0,433.0,377.0,2.0,-231.0,-257.0,53.333333333333336,60,68,42,18.0,42.0,30.0,2.4,6,30:59:00,8.4,501.0,370.0,1.6,-120.0,-223.0,41.830065359477125,22,18,44,5.0,17.0,23.0,2.1,8.2,33:52:00,8.7,479.0,384.0,5.3,33.0,116.0,44.44444444444444
